ctrl-x ctrl-e,откроет текущую команду в текстовом редакторе для многострочного редактирования
ctrl-p,перейти к предыдущей в истории введенной команде
ctrl-n,перейти к следующей в истории введенной команде
ctrl-r,"инкрементальный поиск по истории назад, повторное нажатие позволит найти предыдущее совпадение"
ctrl-s,"инкрементальный поиск по истории вперед, повторное нажатие позволит найти следующее совпадение"
ctrl-d,удаляет один символ под курсором
ctrl-h,удаляет один символ слева от курсора (backspace)
ctrl-w,удаляет слово слева от курсора
ctrl-k,удаляет все символы от курсора до конца строки
ctrl-u,удаляет все символы от курсора до начала строки
ctrl-a,переместить курсор в начало строки
ctrl-e,переместить курсор в конец строки
meta-b,переместить курсор на слово влево от текущей позиции
meta-f,переместить курсор на слово вправо от текущей позиции
ctrl-b,переместить курсор на символ влево от текущей позиции
ctrl-f,переместить курсор на символ вправо от текущей позиции
ctrl-l,очищает экран
meta-#,закончить редактирование текущей команды и отправить ее как комментарий
ctrl-y,вклеивает содержимое буфера ранее удаленных частей
ctrl-t,меняет местами символы слева от курсора и под курсором
meta-t,меняет местами слова слева от курсора и под курсором
meta-u,переводит символ под курсором в верхний регистр
meta-l,переводит символ под курсором в нижний регистр
meta-c,переводит первый символ в слове в верхний регистр
ctrl-_,отмена последнего действия
ctrl-x ctrl-u,отмена последнего действия
